date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,score1,score2,result
2021-10-03,2021,0,,DEN,BAL,1510.99051319521,1594.73273163072,0.473053912173205,0.526946087826795,1543.23782696814,1580.67527167463,175.18215358891,206.960120394922,0.558535547860426,0.441464452139574,-8.30068031668323,201.385596795632,7,23,loss
2021-10-03,2021,0,,NE,TB,1492.26265276656,1644.72097335864,0.376730116958329,0.623269883041671,1502.87181509751,1624.67751048473,110.111448338318,248.803712119511,0.362168992880116,0.637831007119884,152.534399254537,118.42808777088,17,19,loss
2021-10-04,2021,0,,LAC,OAK,1528.10786933802,1539.97023450984,0.575880474557754,0.424119525442246,1551.48626906031,1522.14234031822,204.612316534998,207.169283787142,0.619737574354321,0.380262425645679,195.356037049997,63.5642611770121,28,14,win
2021-10-07,2021,0,,SEA,LAR,1569.57298006433,1584.72001305086,0.5712558298999,0.4287441701001,1559.17610447534,1578.59568138209,198.617406376722,198.827513471871,0.538450815233323,0.461549184766677,95.1875666043598,219.517857070927,17,26,loss
2021-10-10,2021,1,,ATL,NYJ,1423.86537885069,1353.42290306418,0.600008250821442,0.399991749178558,1405.5234939978,1368.95195411042,181.187157149362,64.0300897305307,0.589724282392591,0.410275717607409,340.035450536476,-44.9426133670252,27,20,win
2021-10-10,2021,0,,HOU,NE,1396.17444076417,1484.3015307561,0.46676651250984,0.53323348749016,1369.44113606893,1495.25456308406,51.0853693641756,114.35374342994,0.241644781697603,0.758355218302397,296.612974397961,133.943887375062,22,25,loss
2021-10-10,2021,0,,TB,MIA,1652.6820953691,1464.90028808203,0.810786545412764,0.189213454587236,1632.29476249818,1459.15510626689,235.766149684648,131.108634057197,0.805856087587656,0.194143912412344,477.889717242557,143.223970307435,45,17,win
2021-10-10,2021,0,,WSH,NO,1459.14909695093,1594.2106279616,0.400518155450948,0.599481844549052,1491.36375233745,1556.41288068398,92.3477435312913,146.31807026825,0.399689222693078,0.600310777306922,34.626558289849,192.564269916768,22,33,loss
2021-10-10,2021,0,,JAX,TEN,1288.36037413675,1524.02112038121,0.272415389714077,0.727584610285923,1317.68245526214,1506.61085826739,102.952449889171,178.247924789092,0.318042451839468,0.681957548160532,202.487925231163,67.8639813379011,19,37,loss
2021-10-10,2021,0,,CAR,PHI,1501.0782598478,1412.91180011419,0.707173761308456,0.292826238691544,1504.52023123712,1422.19164725565,145.068103234416,172.078389331057,0.672772569792725,0.327227430207275,-97.2445799783776,155.112952380542,18,21,loss
